name,rating
2bar Straight Bourbon Whiskey,8.5
1792 Full Proof,9.1
1792 Full Proof Single Barrel (Kroger),8.9
1792 Full Proof Single Barrel (The Bourbon Society),9.4
1792 Single Barrel,8.8
1792 Small Batch (formerly Ridgemont Reserve),8.6
1792 Sweet Wheat,8.9
A Midwinter Nights Dram 2.9/710,9.0
A Midwinter Nights Dram 5.5,9.2
A.D. Laws Hordeum   ,7.9
Akashi White Oak Blended Whisky ,7.5
American Prairie,8.8
Ancient Age 80,7.5
Ancient Age 90,7.9
Ancient Ancient Age 10 Star,8.0
Ardbeg 10 Year,8.55
Ardbeg Corryvreckan,9.1
Ardbeg Dark Cove,8.6
Ardbeg Drum Committee Release,8.55
Ardbeg Drum Standard Release,8.35
Ardbeg Grooves,9.35
Ardbeg Kelpie,9.1
Ardbeg Supernova Committee Release (2019),9.35
Ardbeg Uigeadail,9.2
Auchentoshan 18 Year Old,8.1
Bad Guy Batch #3,9.0
Baker's ,8.6
Balcones Texas Single Malt ,8.85
Barrell Bourbon Batch 10,9.3
Barrell Bourbon Batch 13,8.3
Barrell Bourbon Batch 15,9.0
Barrell Bourbon Batch 019,9.0
Barrell Dovetail,9.1
Barrell Whiskey American Vatted Malt,8.5
Barrell Whiskey Batch 005,9.0
Barterhouse,8.5
Basil Hayden's,8.2
Basil Hayden's Two by Two Rye,7.8
Belle Meade Select Cask Madeira Finished Bourbon,9.4
Belle Meade Sherry Cask Finished Bourbon,9.2
Bernheim Wheat Whiskey (private barrel selection),8.3
Bernheim Wheat Whiskey Liquor Barn Private Selection,8.8
Bernheim  Wheat Whiskey Small Batch (Comparison Review),8.7
Big Peat Drinks by the Dram Edition,8.5
Black Ridge,8.5
Blade & Bow,8.8
Blade & Bow 22 Year,9.0
Blanton's,8.9
Blanton's Straight from the Barrel - Barrel #928,9.0
Booker's,9.0
Booker's Rye,9.4
Bruichladdich Islay Barley Rockside Farm 2007,8.5
Bruichladdich Octomore 8.1,8.85
Bruichladdich Octomore 10.3,9.45
